created_at,flight_number,aircraft_type,departure_airport,arrival_airport,flight_date,departure_time,arrival_time,classes,price
2025-07-12T15:38:11.893Z,VJ178,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,11:50,14:00,Eco (H1_ECO),2178000
2025-07-12T15:38:18.533Z,VJ198,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,12:10,14:20,Eco (H1_ECO),2178000
2025-07-12T15:38:25.460Z,VJ1138,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:25,14:35,Eco (H1_ECO),2178000
2025-07-12T15:38:32.406Z,QH268,Boeing 737 All Series Passenger,SGN,HAN,2025-07-13T00:00:00.000Z,19:15,21:25,EconomySmart (K),2178000
2025-07-12T15:38:38.710Z,VJ1148,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,14:05,16:10,Eco (K1_ECO),2178000
2025-07-12T15:38:46.019Z,VJ146,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,15:40,17:45,Eco (K1_ECO),2178000
2025-07-12T15:38:52.958Z,VJ1152,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:30,Eco (K1_ECO),2178000
2025-07-12T15:39:00.238Z,VJ1162,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,17:35,19:45,Eco (K1_ECO),2178000
2025-07-12T15:39:06.981Z,VJ176,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:10,Eco (K1_ECO),2178000
2025-07-12T15:39:14.334Z,QH242,Boeing 737 All Series Passenger,SGN,HAN,2025-07-13T00:00:00.000Z,13:10,15:20,EconomySmart (H),2178000
2025-07-12T15:39:21.371Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,Economy Classic (L),2178000
2025-07-12T15:39:28.847Z,VJ120,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:30,09:40,Deluxe (B1_DLX),2178000
2025-07-12T15:39:36.193Z,VJ1130,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:45,14:55,Deluxe (B1_DLX),2178000
2025-07-12T15:39:43.003Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,Economy Classic (K),2178000
2025-07-12T15:39:50.344Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Economy Classic (K),2178000
2025-07-12T15:39:57.968Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Economy Classic (K),2178000
2025-07-12T15:40:04.433Z,VN6014,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:10,Economy Classic (K),2178000
2025-07-12T15:40:11.452Z,QH202,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,05:25,07:35,EconomyFlex (B),2178000
2025-07-12T15:40:17.794Z,QH204,Boeing 737 All Series Passenger,SGN,HAN,2025-07-13T00:00:00.000Z,07:10,09:20,EconomyFlex (B),2178000
2025-07-12T15:40:24.485Z,QH224,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,10:40,12:50,EconomyFlex (B),2178000
2025-07-12T15:40:31.090Z,QH228,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,11:00,13:10,EconomyFlex (B),2178000
2025-07-12T15:40:38.280Z,QH242,Boeing 737 All Series Passenger,SGN,HAN,2025-07-13T00:00:00.000Z,13:10,15:20,EconomyFlex (B),2178000
2025-07-12T15:40:46.392Z,QH268,Boeing 737 All Series Passenger,SGN,HAN,2025-07-13T00:00:00.000Z,19:15,21:25,EconomyFlex (B),2178000
2025-07-12T15:40:53.852Z,QH272,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,20:05,22:15,EconomyFlex (B),2178000
2025-07-12T15:41:00.597Z,QH284,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,21:30,23:40,EconomyFlex (B),2178000
2025-07-12T15:41:07.497Z,VJ1126,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,08:25,10:35,Deluxe (H1_DLX),2178000
2025-07-12T15:41:14.496Z,VJ1140,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,11:25,13:35,Deluxe (H1_DLX),2178000
2025-07-12T15:41:21.802Z,VJ178,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,11:50,14:00,Deluxe (H1_DLX),2178000
2025-07-12T15:41:28.950Z,VJ198,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,12:10,14:20,Deluxe (H1_DLX),2178000
2025-07-12T15:41:36.344Z,VJ1138,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:25,14:35,Deluxe (H1_DLX),2178000
2025-07-12T15:41:42.679Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,Economy Classic (H),2178000
2025-07-12T15:41:49.368Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Economy Classic (H),2178000
2025-07-12T15:41:56.018Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Economy Classic (H),2178000
2025-07-12T15:42:02.356Z,VN240,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:05,Economy Classic (H),2178000
2025-07-12T15:42:09.184Z,VN6014,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:10,Economy Classic (H),2178000
2025-07-12T15:42:16.037Z,VN262,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:35,21:40,Economy Classic (H),2178000
2025-07-12T15:42:23.541Z,VN220,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:05,Economy Classic (H),2178000
2025-07-12T15:42:30.321Z,VN256,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:35,Economy Classic (H),2178000
2025-07-12T15:42:36.699Z,VN7234,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:30,23:35,Economy Classic (H),2178000
2025-07-12T15:42:43.553Z,VJ1128,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:10,Deluxe (K1_DLX),2178000
2025-07-12T15:42:53.292Z,VJ1148,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,14:05,16:10,Deluxe (K1_DLX),2178000
2025-07-12T15:43:00.135Z,VJ146,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,15:40,17:45,Deluxe (K1_DLX),2178000
2025-07-12T15:43:07.155Z,VJ1152,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:30,Deluxe (K1_DLX),2178000
2025-07-12T15:43:13.070Z,VJ1162,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,17:35,19:45,Deluxe (K1_DLX),2178000
2025-07-12T15:43:20.645Z,VJ176,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:10,Deluxe (K1_DLX),2178000
2025-07-12T15:43:27.652Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,Economy Flex (S),2178000
2025-07-12T15:43:34.134Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Economy Classic (S),2178000
2025-07-12T15:43:42.054Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Economy Classic (S),2178000
2025-07-12T15:43:48.967Z,VN240,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:05,Economy Classic (S),2178000
2025-07-12T15:43:56.598Z,VN6014,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:10,Economy Flex (S),2178000
2025-07-12T15:44:03.397Z,VN7232,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:25,Economy Classic (S),2178000
2025-07-12T15:44:10.224Z,VN258,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:00,21:05,Economy Classic (S),2178000
2025-07-12T15:44:17.043Z,VN262,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:35,21:40,Economy Classic (S),2178000
2025-07-12T15:44:24.236Z,VN220,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:05,Economy Classic (S),2178000
2025-07-12T15:44:30.803Z,VN256,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:35,Economy Classic (S),2178000
2025-07-12T15:44:39.053Z,VN260,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:05,Economy Classic (S),2178000
2025-07-12T15:44:46.456Z,VN7234,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:30,23:35,Economy Classic (S),2178000
2025-07-12T15:44:52.616Z,VN7220,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,22:10,00:20,Economy Classic (S),2178000
2025-07-12T15:45:00.111Z,VN270,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,23:55,02:00,Economy Classic (S),2178000
2025-07-12T15:45:06.906Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,Economy Flex (M),2178000
2025-07-12T15:45:13.904Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Economy Flex (M),2178000
2025-07-12T15:45:20.798Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Economy Flex (M),2178000
2025-07-12T15:45:28.254Z,VN240,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:05,Economy Flex (M),2178000
2025-07-12T15:45:34.955Z,VN6014,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:10,Economy Flex (M),2178000
2025-07-12T15:45:41.625Z,VN210,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,11:10,13:15,Economy Flex (M),2178000
2025-07-12T15:45:48.937Z,VN230,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:05,14:10,Economy Flex (M),2178000
2025-07-12T15:45:55.678Z,VN254,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:00,19:10,Economy Flex (M),2178000
2025-07-12T15:46:03.021Z,VN252,Airbus A350-900,SGN,HAN,2025-07-13T00:00:00.000Z,17:05,19:10,Economy Flex (M),2178000
2025-07-12T15:46:10.283Z,VN7232,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:25,Economy Flex (M),2178000
2025-07-12T15:46:17.363Z,VN218,Airbus A350-900,SGN,HAN,2025-07-13T00:00:00.000Z,18:00,20:05,Economy Flex (M),2178000
2025-07-12T15:46:24.576Z,VN258,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:00,21:05,Economy Flex (M),2178000
2025-07-12T15:46:32.085Z,VN262,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:35,21:40,Economy Flex (M),2178000
2025-07-12T15:46:38.384Z,VN220,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:05,Economy Flex (M),2178000
2025-07-12T15:46:45.645Z,VN256,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:35,Economy Flex (M),2178000
2025-07-12T15:46:53.247Z,VN260,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:05,Economy Flex (M),2178000
2025-07-12T15:46:59.326Z,VN7234,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:30,23:35,Economy Flex (M),2178000
2025-07-12T15:47:06.398Z,VN7220,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,22:10,00:20,Economy Flex (M),2178000
2025-07-12T15:47:13.591Z,VN270,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,23:55,02:00,Economy Flex (M),2178000
2025-07-12T15:47:20.795Z,VJ1198,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,05:00,07:10,Eco (T1_ECO),2178000
2025-07-12T15:47:27.006Z,VJ124,321H,SGN,HAN,2025-07-13T00:00:00.000Z,09:20,11:30,Eco (T1_ECO),2178000
2025-07-12T15:47:34.095Z,VJ140,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,13:10,15:20,Eco (T1_ECO),2178000
2025-07-12T15:47:40.737Z,VJ1156,321H,SGN,HAN,2025-07-13T00:00:00.000Z,18:45,20:55,Eco (T1_ECO),2178000
2025-07-12T15:47:46.701Z,VJ1174,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:40,Eco (T1_ECO),2178000
2025-07-12T15:47:53.877Z,VJ1158,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,20:50,23:00,Eco (T1_ECO),2178000
2025-07-12T15:48:01.146Z,VJ174,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:10,Eco (T1_ECO),2178000
2025-07-12T15:48:08.750Z,VJ172,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,22:10,00:20,Eco (T1_ECO),2178000
2025-07-12T15:48:17.084Z,VJ1170,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,23:50,02:00,Eco (T1_ECO),2178000
2025-07-12T15:48:23.876Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,Economy Flex (B),2178000
2025-07-12T15:48:30.445Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Economy Flex (B),2178000
2025-07-12T15:48:37.177Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Economy Flex (B),2178000
2025-07-12T15:48:44.476Z,VN240,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:05,Economy Flex (B),2178000
2025-07-12T15:48:51.945Z,VN6014,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:10,Economy Flex (B),2178000
2025-07-12T15:48:58.835Z,VN208,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,08:00,10:05,Economy Flex (B),2178000
2025-07-12T15:49:05.626Z,VN210,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,11:10,13:15,Economy Flex (B),2178000
2025-07-12T15:49:12.300Z,VN212,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,12:00,14:05,Economy Flex (B),2178000
2025-07-12T15:49:19.561Z,VN230,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:05,14:10,Economy Flex (B),2178000
2025-07-12T15:49:26.493Z,VN214,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,14:00,16:05,Economy Flex (B),2178000
2025-07-12T15:49:33.868Z,VN248,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,14:00,16:05,Economy Flex (B),2178000
2025-07-12T15:49:41.329Z,VN7244,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,14:15,16:25,Economy Flex (B),2178000
2025-07-12T15:49:47.873Z,VN254,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:00,19:10,Economy Flex (B),2178000
2025-07-12T15:49:54.415Z,VN252,Airbus A350-900,SGN,HAN,2025-07-13T00:00:00.000Z,17:05,19:10,Economy Flex (B),2178000
2025-07-12T15:50:01.409Z,VN7232,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:25,Economy Flex (B),2178000
2025-07-12T15:50:08.959Z,VN7232,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:25,Economy Flex (B),2178000
2025-07-12T15:50:15.499Z,VN7232,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:25,Economy Flex (B),2178000
2025-07-12T15:50:23.542Z,VN262,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:35,21:40,Economy Flex (B),2178000
2025-07-12T15:50:30.325Z,VN220,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:05,Economy Flex (B),2178000
2025-07-12T15:50:37.940Z,VN256,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:35,Economy Flex (B),2178000
2025-07-12T15:50:44.875Z,VN260,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:05,Economy Flex (B),2178000
2025-07-12T15:50:51.652Z,VN260,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:05,Economy Flex (B),2178000
2025-07-12T15:50:58.818Z,VN7220,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,22:10,00:20,Economy Flex (B),2178000
2025-07-12T15:51:05.727Z,VN270,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,23:55,02:00,Economy Flex (B),2178000
2025-07-12T15:51:12.111Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,(I),2178000
2025-07-12T15:51:18.834Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Premium Economy Classic (U),2178000
2025-07-12T15:51:25.698Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Premium Economy Classic (U),2178000
2025-07-12T15:51:32.983Z,VN240,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:05,Premium Economy Classic (U),2178000
2025-07-12T15:51:40.695Z,VN208,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,08:00,10:05,Premium Economy Classic (U),2178000
2025-07-12T15:51:48.564Z,VN244,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,09:00,11:05,Premium Economy Classic (U),2178000
2025-07-12T15:51:55.963Z,VN246,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,10:00,12:05,Premium Economy Classic (U),2178000
2025-07-12T15:52:02.919Z,VN210,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,11:10,13:15,Premium Economy Classic (U),2178000
2025-07-12T15:52:09.133Z,VN212,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,12:00,14:05,Premium Economy Classic (U),2178000
2025-07-12T15:52:16.166Z,VN230,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:05,14:10,Premium Economy Classic (U),2178000
2025-07-12T15:52:22.795Z,VN214,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,14:00,16:05,Premium Economy Classic (U),2178000
2025-07-12T15:52:30.195Z,VN248,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,14:00,16:05,Premium Economy Classic (U),2178000
2025-07-12T15:52:37.678Z,VN7244,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,14:15,16:25,Premium Economy Classic (U),2178000
2025-07-12T15:52:44.378Z,VN7252,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,14:30,16:35,Premium Economy Classic (U),2178000
2025-07-12T15:52:51.623Z,VN216,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,16:00,18:05,Premium Economy Classic (U),2178000
2025-07-12T15:52:58.795Z,VN254,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:00,19:10,Premium Economy Classic (U),2178000
2025-07-12T15:56:20.856Z,VN7232,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,17:20,19:25,Premium Economy Classic (U),2178000
2025-07-12T15:57:18.767Z,VN218,Airbus A350-900,SGN,HAN,2025-07-13T00:00:00.000Z,18:00,20:05,Premium Economy Classic (U),2178000
2025-07-12T15:57:25.647Z,VN258,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:00,21:05,Premium Economy Classic (U),2178000
2025-07-12T15:57:32.265Z,VN262,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,19:35,21:40,Premium Economy Classic (U),2178000
2025-07-12T15:57:38.828Z,VN220,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:00,22:05,Premium Economy Classic (U),2178000
2025-07-12T15:57:46.036Z,VN256,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:35,Premium Economy Classic (U),2178000
2025-07-12T15:57:52.985Z,VN260,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:05,Premium Economy Classic (U),2178000
2025-07-12T15:57:59.185Z,VN7234,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,21:30,23:35,Premium Economy Classic (U),2178000
2025-07-12T15:58:05.185Z,VN7220,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,22:10,00:20,Premium Economy Classic (U),2178000
2025-07-12T15:58:11.799Z,VN270,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,23:55,02:00,Premium Economy Classic (U),2178000
2025-07-12T15:58:19.029Z,VU750,AIRBUS A321,SGN,HAN,2025-07-13T00:00:00.000Z,05:45,07:55,ECONOMY (J),2178000
2025-07-12T15:58:25.555Z,VJ1198,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,05:00,07:10,Deluxe (T1_DLX),2178000
2025-07-12T15:58:32.343Z,VJ124,321H,SGN,HAN,2025-07-13T00:00:00.000Z,09:20,11:30,Deluxe (T1_DLX),2178000
2025-07-12T15:58:38.794Z,VJ140,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,13:10,15:20,Deluxe (T1_DLX),2178000
2025-07-12T15:58:46.256Z,VJ1156,321H,SGN,HAN,2025-07-13T00:00:00.000Z,18:45,20:55,Deluxe (T1_DLX),2178000
2025-07-12T15:58:52.129Z,VJ1174,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,20:30,22:40,Deluxe (T1_DLX),2178000
2025-07-12T15:58:58.795Z,VJ1158,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,20:50,23:00,Deluxe (T1_DLX),2178000
2025-07-12T15:59:05.322Z,VJ174,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,21:00,23:10,Deluxe (T1_DLX),2178000
2025-07-12T15:59:12.354Z,VJ172,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,22:10,00:20,Deluxe (T1_DLX),2178000
2025-07-12T15:59:20.186Z,VJ1170,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,23:50,02:00,Deluxe (T1_DLX),2178000
2025-07-12T15:59:27.603Z,VN6002,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,04:55,07:05,(Z),2178000
2025-07-12T15:59:35.024Z,VN206,Airbus 350,SGN,HAN,2025-07-13T00:00:00.000Z,06:00,08:05,Premium Economy Classic (Z),2178000
2025-07-12T15:59:41.834Z,VN7242,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,06:05,08:10,Premium Economy Classic (Z),2178000
2025-07-12T15:59:49.859Z,VN240,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:05,Premium Economy Classic (Z),2178000
2025-07-12T15:59:57.197Z,VN6014,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:00,09:10,(Z),2178000
2025-07-12T16:00:03.924Z,VN208,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,08:00,10:05,Premium Economy Classic (Z),2178000
2025-07-12T16:00:11.447Z,VN244,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,09:00,11:05,Premium Economy Classic (Z),2178000
2025-07-12T16:00:18.842Z,VN246,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,10:00,12:05,Premium Economy Classic (Z),2178000
2025-07-12T16:00:24.987Z,VN210,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,11:10,13:15,Premium Economy Classic (Z),2178000
2025-07-12T16:00:32.066Z,VN212,Boeing 787,SGN,HAN,2025-07-13T00:00:00.000Z,12:00,14:05,Premium Economy Classic (Z),2178000
